"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"ABOS","","\WIGOS\GOS\GOS Other elements\ABOS","",""
"ADD","","\WIGOS\GOS\GOS Other elements\ABOS\ADD","",""
"ADNet","","\WIGOS\GAW\GAW Contributing networks\GALION\ADNet","",""
"ADSC","","\WIGOS\GOS\GOS Other elements\ABOS\ADS-C","",""
"AEROCAN","","\WIGOS\GAW\GAW Other elements\AOD\AEROCAN","",""
"AERONET","","\WIGOS\GAW\GAW Other elements\AOD\AERONET","",""
"AFIRS","","\WIGOS\GOS\GOS Other elements\ABOS\AFIRS","",""
"AGAGE","","\WIGOS\GAW\GAW Other elements\AGAGE","",""
"AIREP","","\WIGOS\GOS\GOS Other elements\ABOS\AIREP","",""
"AMDAR","","\WIGOS\GOS\GOS Other elements\ABOS\AMDAR","",""
"ANTON","","\WIGOS\GOS\GOS Surface networks\ANTON","",""
"ANTONt","","\WIGOS\GOS\GOS Surface networks\ANTON\ANTON(T)","",""
"AOML","","\Co-sponsored\GOOS\DBCP\AOML","",""
"AOMLeSurfmar","","\Co-sponsored\GOOS\DBCP\AOML-E-SURFMAR","",""
"AOMLMFDB","","\Co-sponsored\GOOS\DBCP\AOML-MF DB","",""
"APLUW","","\Co-sponsored\GOOS\DBCP\APL-UW","",""
"argo","","\Co-sponsored\GOOS\Argo","",""
"argoArgentina","","\Co-sponsored\GOOS\Argo\ARGO ARGENTINA","",""
"argoAustralia","","\Co-sponsored\GOOS\Argo\ARGO AUSTRALIA","",""
"argoAustraliaEq","","\Co-sponsored\GOOS\Argo\ARGO AUSTRALIA EQ.","",""
"argoAWI","","\Co-sponsored\GOOS\Argo\ARGO AWI","",""
"argoBrazil","","\Co-sponsored\GOOS\Argo\ARGO BRAZIL","",""
"argoBrazilNavy","","\Co-sponsored\GOOS\Argo\ARGO BRAZIL NAVY","",""
"argoBSH","","\Co-sponsored\GOOS\Argo\ARGO BSH","",""
"argoCanada","","\Co-sponsored\GOOS\Argo\ARGO CANADA","",""
"argoChile","","\Co-sponsored\GOOS\Argo\ARGO CHILE","",""
"argoChina","","\Co-sponsored\GOOS\Argo\ARGO CHINA","",""
"argoChinaSOA","","\Co-sponsored\GOOS\Argo\ARGO CHINA SOA","",""
"argoCostaRica","","\Co-sponsored\GOOS\Argo\ARGO COSTA RICA","",""
"argoDenmark","","\Co-sponsored\GOOS\Argo\ARGO DENMARK","",""
"argoEcuador","","\Co-sponsored\GOOS\Argo\ARGO ECUADOR","",""
"argoEqAOML","","\Co-sponsored\GOOS\Argo\ARGO EQ. AOML","",""
"argoEqAWI","","\Co-sponsored\GOOS\Argo\ARGO EQ. AWI","",""
"argoEqBSH","","\Co-sponsored\GOOS\Argo\ARGO EQ. BSH","",""
"argoEqChina","","\Co-sponsored\GOOS\Argo\ARGO EQ. CHINA","",""
"argoEqESPOMZ","","\Co-sponsored\GOOS\Argo\ARGO EQ. ESP-OMZ","",""
"argoEqFERHRI","","\Co-sponsored\GOOS\Argo\ARGO EQ. FERHRI","",""
"argoEqFSU","","\Co-sponsored\GOOS\Argo\ARGO EQ. FSU","",""
"argoEqHNFRI","","\Co-sponsored\GOOS\Argo\ARGO EQ. HNFRI","",""
"argoEqIFM","","\Co-sponsored\GOOS\Argo\ARGO EQ. IFM","",""
"argoEqIFM2","","\Co-sponsored\GOOS\Argo\ARGO EQ. IFM2","",""
"argoEqIreland","","\Co-sponsored\GOOS\Argo\ARGO EQ. IRELAND","",""
"argoEqJamstec","","\Co-sponsored\GOOS\Argo\ARGO EQ. JAMSTEC","",""
"argoEqJMA","","\Co-sponsored\GOOS\Argo\ARGO EQ. JMA","",""
"argoEqNavoceano","","\Co-sponsored\GOOS\Argo\ARGO EQ. NAVOCEANO","",""
"argoEqNDBC","","\Co-sponsored\GOOS\Argo\ARGO EQ. NDBC","",""
"argoEqNIPR","","\Co-sponsored\GOOS\Argo\ARGO EQ. NIPR","",""
"argoEqNRIFS","","\Co-sponsored\GOOS\Argo\ARGO EQ. NRIFS","",""
"argoEqOIST","","\Co-sponsored\GOOS\Argo\ARGO EQ. OIST","",""
"argoEqORI","","\Co-sponsored\GOOS\Argo\ARGO EQ. ORI","",""
"argoEqPMEL","","\Co-sponsored\GOOS\Argo\ARGO EQ. PMEL","",""
"argoEqPomme","","\Co-sponsored\GOOS\Argo\ARGO EQ. POMME","",""
