"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"ABOS","","","ABOS","Aircraft-Based Observing Systems"
"GAWabos","","","ABOS","Aircraft-Based Observing Systems"
"ADD","","","ADD","Aircraft Derived Data (Mode-S/ADS-B)"
"ADNet","","","ADNet","AD-Net Asian Dust and Lidar Observation Network"
"ADSC","","","ADS-C","Automatic Data Surveillance (ICAO). These are transmitted at selected points of the flightpath."
"AEROCAN","","","AEROCAN","AEROCAN, federated to AERONET"
"AERONET","","","AERONET","AERONET"
"AFIRS","","","AFIRS","Automated Flight Information & Reporting System (Commercial/FLYHT). Not currently open to GTS, contract with Panasonic and airline and/or NMHS"
"AGAGE","","","AGAGE","AGAGE/SOGE/NIES"
"AIREP","","","AIREP","Aircraft Report (Manual). These are transmitted by the aircraft when a weather event encountered e.g. severe turbulence or icing."
"AMDAR","","","AMDAR","Aircraft Meteorological Data Relay"
"ANTON","","","ANTON","Antarctic Observing Network surface synoptic station (SYNOP/CLIMAT)"
"ANTONt","","","ANTON(T)","Antarctic Observing Network upper-air station (TEMP)"
"globalAOD","","","AOD","Aerosol Optical Depth"
"AOML","","","AOML",NA
"AOMLeSurfmar","","","AOML-E-SURFMAR",NA
"AOMLMFDB","","","AOML-MF DB",NA
"APLUW","","","APL-UW",NA
"argo","","","Argo","IOC/WMO Argo program of drifting sub-surface floats"
"argoArgentina","","","ARGO ARGENTINA",NA
"argoAustralia","","","ARGO AUSTRALIA",NA
"argoAustraliaEq","","","ARGO AUSTRALIA EQ.",NA
"argoAWI","","","ARGO AWI",NA
"argoBrazil","","","ARGO BRAZIL",NA
"argoBrazilNavy","","","ARGO BRAZIL NAVY",NA
"argoBSH","","","ARGO BSH",NA
"argoCanada","","","ARGO CANADA",NA
"argoChile","","","ARGO CHILE",NA
"argoChina","","","ARGO CHINA",NA
"argoChinaSOA","","","ARGO CHINA SOA",NA
"argoCostaRica","","","ARGO COSTA RICA",NA
"argoDenmark","","","ARGO DENMARK",NA
"argoEcuador","","","ARGO ECUADOR",NA
"argoEqAOML","","","ARGO EQ. AOML",NA
"argoEqAWI","","","ARGO EQ. AWI",NA
"argoEqBSH","","","ARGO EQ. BSH",NA
"argoEqChina","","","ARGO EQ. CHINA",NA
"argoEqESPOMZ","","","ARGO EQ. ESP-OMZ",NA
"argoEqFERHRI","","","ARGO EQ. FERHRI",NA
"argoEqFSU","","","ARGO EQ. FSU",NA
"argoEqHNFRI","","","ARGO EQ. HNFRI",NA
"argoEqIFM","","","ARGO EQ. IFM",NA
"argoEqIFM2","","","ARGO EQ. IFM2",NA
"argoEqIreland","","","ARGO EQ. IRELAND",NA
"argoEqJamstec","","","ARGO EQ. JAMSTEC",NA
"argoEqJMA","","","ARGO EQ. JMA",NA
"argoEqNavoceano","","","ARGO EQ. NAVOCEANO",NA
"argoEqNDBC","","","ARGO EQ. NDBC",NA
"argoEqNIPR","","","ARGO EQ. NIPR",NA
"argoEqNRIFS","","","ARGO EQ. NRIFS",NA
"argoEqOIST","","","ARGO EQ. OIST",NA
"argoEqORI","","","ARGO EQ. ORI",NA
"argoEqPMEL","","","ARGO EQ. PMEL",NA
"argoEqPomme","","","ARGO EQ. POMME",NA
"argoEqSage","","","ARGO EQ. SAGE",NA
"argoEqTNFRI","","","ARGO EQ. TNFRI",NA
"argoEqTSK","","","ARGO EQ. TSK",NA
"argoEqTU","","","ARGO EQ. TU",NA
"argoEqUH","","","ARGO EQ. UH",NA
"argoEqUHH","","","ARGO EQ. UHH",NA
"argoEqUMOSU","","","ARGO EQ. UM-OSU",NA
"argoEqVocals","","","ARGO EQ. VOCALS",NA
"argoEqWHOI","","","ARGO EQ. WHOI",NA
"argoFinland","","","ARGO FINLAND",NA
"argoGabon","","","ARGO GABON",NA
"argoGermany","","","ARGO GERMANY",NA
"argoGreece","","","ARGO GREECE",NA
"argoIFMGeomar","","","ARGO IFM-GEOMAR",NA
"argoIndia","","","ARGO INDIA",NA
"argoIreland","","","ARGO IRELAND",NA
"argoItaly","","","ARGO ITALY",NA
"argoJamstec","","","ARGO JAMSTEC",NA
"argoJMA","","","ARGO JMA",NA
"argoKenya","","","ARGO KENYA",NA
"argoKiost","","","ARGO KIOST",NA
"argoLebanon","","","ARGO LEBANON",NA
"argoMauritius","","","ARGO MAURITIUS",NA
"argoMexCoUS","","","ARGO MEX-CO-US",NA
"argoMexico","","","ARGO MEXICO",NA
"argoNetherlands","","","ARGO NETHERLANDS",NA
"argoNewZealand","","","ARGO NEW ZEALAND",NA
"argoMIMRKMA","","","ARGO NIMR/KMA",NA
"argoNorway","","","ARGO NORWAY",NA
"argoPMEL","","","ARGO PMEL",NA
"argoPoland","","","ARGO POLAND",NA
"argoRussia","","","ARGO RUSSIA",NA
"argoSaudiArabia","","","ARGO SAUDI ARABIA",NA
"argoSIO","","","ARGO SIO",NA
"argoSIOEqASIRI","","","ARGO SIO EQ (ASIRI)",NA
"argoSIOEqOKMC","","","ARGO SIO EQ. (OKMC)",NA
"argoSouthAfrica","","","ARGO SOUTH AFRICA",NA
"argoSpain","","","ARGO SPAIN",NA
"argoSriLanka","","","ARGO SRI LANKA",NA
"argoTWREng","","","ARGO TWR ENGINEERING",NA
"argoUK","","","ARGO UK",NA
"argoUKBIO","","","ARGO UK BIO",NA
"argoUKEq","","","ARGO UK EQ.",NA
"argoUW","","","ARGO UW",NA
"argoUWAplEq","","","ARGO UW-APL EQ.",NA
"argoUWEq","","","ARGO UW EQ.",NA
"argoUWMbariEq","","","ARGO UW-MBARI EQ.",NA
"argoUWSoccomEq","","","ARGO UW-SOCCOM EQ.",NA
"argoUWSpursEq","","","ARGO UW-SPURS  EQ.",NA
"argoUWUAEq","","","ARGO UW-UA EQ.",NA
"argoWHOI","","","ARGO WHOI",NA
"argoWHOIEqIR","","","ARGO WHOI EQ. IR",NA
"argoWHOIMRVEq","","","ARGO WHOI-MRV EQ.",NA
"ASAP","","","ASAP","GOS Automated Shipboard Upper-Air Sounding Program"
"ASAPAWI","","","ASAP-AWI",NA
"ASAPZA","","","ASAP-ZA",NA
"AWIDB","","","AWI-DB",NA
"BOMDB","","","BOM DB",NA
"BOMTSU","","","BOM-TSU",NA
"BPINC","","","BP INC",NA
"brazilPNBOIAINPE","","","BRAZIL PNBOIA-INPE",NA
"BSHDWDfixed","","","BSH-DWD-FIXED",NA
"BSHDWDMB","","","BSH-DWD-MB",NA
"BSHMB","","","BSH-MB",NA
"BSRN","","","BSRN","Baseline Surface Radiation Network"
"BULARGO","","","BULARGO",NA
"CANDHIS","","","CANDHIS",NA
"CAPMoN","","","CAPMoN","Canadian Air and Precipitation Monitoring Network"
"CARICOOS","","","CARICOOS",NA
"CARIOCA","","","CARIOCA",NA
"CASTNET","","","CASTNET","Clean Air Status and Trends Network"
"CDIP","","","CDIP",NA
"ceilometers","","","Ceilometers","Elastic lidar (ceilometer) networks"
"centennialObservingstations","","","Centennial Observing Stations","Long-term meteorological observations are unique sources of past information about atmospheric parameters, thus are references for climate variability and change assessments. To highlight this importance, WMO has a mechanism to recognize centennial observing stations. By so doing, the Organization promotes sustainable observational standards and best practices that facilitate the generation of high-quality time series data."
"CIS-LiNet","","","CIS-LiNet","Atmosphere aerosol and ozone monitoring in CIS regions through lidar stations network"
"CLIMATc","","","CLIMAT(C)","Station for which monthly climatological means of surface elements are transmitted"
"CLIMATct","","","CLIMAT(CT)","Station for which monthly climatological means of both surface and upper- air elements are transmitted"
"CLIMATt","","","CLIMAT(T)","Station for which monthly climatological means of upper-air elements are transmitted"
"CLN","","","CLN","The NOAA Cooperative Remote Sencing Science and Technology (CREST) Lidar network"
"colombiaTSU","","","COLOMBIA-TSU",NA
"coriolis","","","CORIOLIS",NA
"coriolisBioargo","","","CORIOLIS-BIOARGO",NA
"coriolisCanoa","","","CORIOLIS-CANOA",NA
