"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"barren","","","Barren or sparsely vegetated",NA
"closedShrublands","","","Closed shrublands",NA
"croplands","","","Croplands",NA
"deciduousBroadleafForest","","","Deciduous Broadleaf forest",NA
"deciduousNeedleleafForest","","","Deciduous Needleleaf forest",NA
"evergreenBroadleafForest","","","Evergreen Broadleaf forest",NA
"evergreenNeedleleafForest","","","Evergreen Needleleaf forest",NA
"grasslands","","","Grasslands",NA
"mixedForest","","","Mixed forest",NA
"notApplicable","","","(not applicable)",NA
"openShrublands","","","Open shrublands",NA
"savannas","","","Savannas",NA
"unclassified","","","(unclassified)",NA
"urbanBuiltup","","","Urban and built-up",NA
"water","","","Water",NA
"woodySavannas","","","Woody savannas",NA
