"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"artificialSurfaces","","","Artificial Surfaces and Associated Areas",NA
"artificialWaterbodiesSnowIce","","","Artificial Waterbodies, Snow and Ice",NA
"bareAreas","","","Bare Areas",NA
"cultivatedManagedTerrestrial","","","Cultivated and Managed Terrestrial Areas",NA
"cultivatedAquatic","","","Cultivated Aquatic or Regularly Flooded Areas",NA
"naturalSemiNaturalAquatic","","","Natural and Semi-Natural Aquatic or Regularly Flooded Vegetation",NA
"naturalSemiNaturalTerrestrial","","","Natural and Semi-Natural Terrestrial Vegetation",NA
"naturalWaterbodiesSnowIce","","","Natural Waterbodies, Snow and Ice",NA
"notApplicable","","","(not applicable)",NA
"unclassified","","","(unclassified)",NA
